,Star ID,RA,DE,Magnitude
569,54787,0.39872324,0.64545034,5.8
570,54911,0.43266415,0.61076159,5.5
571,54993,0.46172774,0.56614486,5.8
572,55106,0.49382347,0.64590035,5.8
573,55217,0.52375775,0.57672699,5.4
574,55288,0.54742638,0.65664523,4.8
575,55305,0.55222065,0.60653353,3.1
576,55346,0.56488738,0.52481517,5.4
577,55396,0.58019995,0.5781838,5.3
578,55569,0.63046791,0.55113891,5.8
579,55634,0.65031972,0.62703935,5.4
580,55792,0.69413069,0.69784794,5.0
581,55945,0.73489525,0.60834033,4.7
582,55974,0.74414354,0.6655849,5.3
583,56030,0.76028841,0.55386608,5.2
584,56046,0.76600139,0.68877805,4.6
585,56051,0.76774788,0.61058773,5.0
586,56137,0.79396446,0.67453514,3.7
587,56223,0.82053506,0.68806401,4.8
588,56284,0.83902188,0.530093,5.5
589,56339,0.8534455,0.59413102,4.9
590,56418,0.87860319,0.58224475,5.6
591,56627,0.95062966,0.65310861,5.6
592,56645,0.95643877,0.59002974,5.0
593,56672,0.96506513,0.56080081,3.9
594,56674,0.96551615,0.63362336,5.6
595,56726,0.98775543,0.57490627,5.1
596,56823,1.01774041,0.60975666,5.5
597,56839,1.02315798,0.69581691,3.0
598,57005,1.07019401,0.66166736,5.6
599,57228,1.14719067,0.54677466,5.3
600,57446,1.25026567,0.65278756,5.1
601,57521,1.28165215,0.57750977,2.9
602,57547,1.29092145,0.66002525,5.0
603,57754,1.35264159,0.67068286,4.8
604,57798,1.36199619,0.56953124,5.1
605,57815,1.3657064,0.59789448,5.8
606,57980,1.40172192,0.65171879,5.2
607,58039,1.41343665,0.52651275,5.7
608,58163,1.43758728,0.56124689,4.9
609,58464,1.5084358,0.68358002,4.6
610,58495,1.51681687,0.65089073,5.0
611,58568,1.53474096,0.55319951,5.8
612,58635,1.55469764,0.64945665,2.7
613,58748,1.58448327,0.67176453,5.3
614,59127,1.68142483,0.53277703,5.0
615,59193,1.69816414,0.56709999,5.6
616,59279,1.71526865,0.67173893,5.1
617,59315,1.72436364,0.6883055,5.7
618,59520,1.77338885,0.57012087,5.8
619,59772,1.84524419,0.60304592,5.6
620,59857,1.86732086,0.52934212,4.5
621,59865,1.86845627,0.68773153,5.1
622,59963,1.89748997,0.54188149,6.0
623,60009,1.9142156,0.64326762,5.2
624,60117,1.94559481,0.55650948,4.2
625,60203,1.97209523,0.54229794,5.3
626,60242,1.98648482,0.61369956,5.6
627,60256,1.99352548,0.67126662,5.9
628,60290,2.00489521,0.59549126,6.0
629,60327,2.02162259,0.65694712,5.5
630,60378,2.04128627,0.58226749,6.0
631,60889,2.22386101,0.66653145,6.0
632,60906,2.23194254,0.63866111,5.8
633,61101,2.31034797,0.57007554,5.8
634,61124,2.31778955,0.53703975,5.6
635,61201,2.34895182,0.56634247,5.8
636,61253,2.37083424,0.67462919,4.7
637,61305,2.38948083,0.54398524,5.3
638,61390,2.42486905,0.64604119,3.8
639,61413,2.43479722,0.60397395,3.3
640,61528,2.47707593,0.59125899,6.0
641,61539,2.48056193,0.61654396,5.5
642,61585,2.49872921,0.62897167,5.5
643,61593,2.50346691,0.54780601,5.7
644,61635,2.52599205,0.69790316,5.5
645,61655,2.53346665,0.52718247,5.7
646,61807,2.60985011,0.56148042,5.6
647,61873,2.63756796,0.61940489,4.5
648,62009,2.70626871,0.59622711,5.8
